Customer,Annual # of Services Required
Cust1,150
Cust2,200
Cust3,100
Cust4,250
Cust5,180
Cust6,220
Cust7,140
Cust8,300
Cust9,170
Cust10,190
Cust11,120
Cust12,160
Cust13,210
Cust14,150
Cust15,270
Cust16,240
Cust17,110
Cust18,130
Cust19,280
Cust20,290
Cust21,23
Cust22,260
Cust23,100
Cust24,220
Cust25,150
Cust26,140
Cust27,190
Cust28,240
Cust29,110
Cust30,270
Cust31,300
Cust32,180
Cust33,120
Cust34,210
Cust35,160
Cust36,130
Cust37,200
Cust38,220
Cust39,260
Cust40,290
Cust41,170
Cust42,230
Cust43,150
Cust44,280
Cust45,110
Cust46,250
Cust47,190
Cust48,240
Cust49,140
Cust50,100
