Customer,New York,Boston,Philadelphia,Washington D.C.,Baltimore,Richmond,Virginia Beach,Charlotte,Raleigh,Atlanta,Nashville
Cust1,1,1,0,0,0,0,0,0,0,0,0
Cust2,1,1,0,0,0,0,0,0,0,0,0
Cust3,1,1,0,0,0,0,0,0,0,0,0
Cust4,1,1,0,0,0,0,0,0,0,0,0
Cust5,1,1,1,0,0,0,0,0,0,0,0
Cust6,1,1,1,0,0,0,0,0,0,0,0
Cust7,1,1,1,0,0,0,0,0,0,0,0
Cust8,1,1,1,0,0,0,0,0,0,0,0
Cust9,1,1,1,0,0,0,0,0,0,0,0
Cust10,1,1,1,0,0,0,0,0,0,0,0
Cust11,0,0,1,1,1,0,0,0,0,0,0
Cust12,0,0,1,1,1,0,0,0,0,0,0
Cust13,0,0,1,1,1,0,0,0,0,0,0
Cust14,0,0,1,1,1,0,0,0,0,0,0
Cust15,0,0,1,1,1,0,0,0,0,0,0
Cust16,0,0,1,1,1,0,0,0,0,0,0
Cust17,0,0,1,1,1,0,0,0,0,0,0
Cust18,0,0,1,1,1,0,0,0,0,0,0
Cust19,0,0,1,1,1,0,0,0,0,0,0
Cust20,0,0,1,1,1,0,0,0,0,0,0
Cust21,0,0,0,1,1,1,0,0,0,0,0
Cust22,0,0,0,1,1,1,0,0,0,0,0
Cust23,0,0,0,1,1,1,0,0,0,0,0
Cust24,0,0,0,1,1,1,0,0,0,0,0
Cust25,0,0,0,1,1,1,0,0,0,0,0
Cust26,0,0,0,1,1,1,0,0,0,0,0
Cust27,0,0,0,1,1,1,0,0,0,0,0
Cust28,0,0,0,1,1,1,0,0,0,0,0
Cust29,0,0,0,1,1,1,0,0,0,0,0
Cust30,0,0,0,1,1,1,0,0,0,0,0
Cust31,0,0,0,0,0,1,1,0,1,0,0
Cust32,0,0,0,0,0,1,1,0,1,0,0
Cust33,0,0,0,0,0,1,1,0,1,0,0
Cust34,0,0,0,0,0,1,1,0,1,0,0
Cust35,0,0,0,0,0,1,1,0,1,0,0
Cust36,0,0,0,0,0,1,1,0,1,0,0
Cust37,0,0,0,0,0,1,1,0,1,0,0
Cust38,0,0,0,0,0,1,1,0,1,0,0
Cust39,0,0,0,0,0,1,1,0,1,0,0
Cust40,0,0,0,0,0,1,1,0,1,0,0
Cust41,0,0,0,0,0,0,0,0,1,1,0
Cust42,0,0,0,0,0,0,0,0,1,1,0
Cust43,0,0,0,0,0,0,0,0,1,1,0
Cust44,0,0,0,0,0,0,0,0,1,1,0
Cust45,0,0,0,0,0,0,0,0,1,1,0
Cust46,0,0,0,0,0,0,0,1,0,1,1
Cust47,0,0,0,0,0,0,0,1,0,1,1
Cust48,0,0,0,0,0,0,0,1,0,1,1
Cust49,0,0,0,0,0,0,0,1,0,1,1
Cust50,0,0,0,0,0,0,0,0,0,1,1
