Customer,New York,Boston,Philadelphia,Washington D.C.,Baltimore,Richmond,Virginia Beach,Charlotte,Raleigh,Atlanta,Nashville
Cust1,1,1,0,1,0,0,0,1,0,1,0
Cust2,0,1,1,1,1,0,0,0,1,1,0
Cust3,1,1,1,1,1,1,0,0,0,1,0
Cust4,0,0,0,1,1,1,1,1,0,1,1
Cust5,1,1,0,1,0,0,0,1,0,1,1
Cust6,0,0,1,1,1,0,1,1,1,0,1
Cust7,1,1,1,0,1,1,1,0,0,0,0
Cust8,0,1,1,1,1,0,0,0,1,1,1
Cust9,1,0,1,0,0,1,0,1,1,0,0
Cust10,1,1,0,1,1,1,0,1,0,0,0
Cust11,0,0,1,1,1,0,1,0,1,1,1
Cust12,1,1,0,0,0,0,1,1,0,1,1
Cust13,0,1,1,0,1,1,1,1,1,0,0
Cust14,1,1,0,1,0,0,0,1,0,1,1
Cust15,0,1,1,0,1,1,1,1,1,0,0
Cust16,1,0,1,0,1,0,0,1,1,1,1
Cust17,1,1,0,1,0,0,0,1,0,1,1
Cust18,0,1,1,1,1,0,1,1,1,0,1
Cust19,1,1,1,1,1,1,0,0,0,1,0
Cust20,0,0,1,1,1,1,1,1,0,0,1
Cust21,1,1,1,0,0,0,0,1,0,1,1
Cust22,0,1,1,0,1,1,1,1,1,0,0
Cust23,1,0,1,0,0,1,0,1,1,1,0
Cust24,1,1,0,1,1,1,0,1,0,0,0
Cust25,0,0,1,1,1,0,1,0,1,1,1
Cust26,1,1,0,0,0,0,1,1,0,1,1
Cust27,0,1,1,0,1,1,1,1,1,0,0
Cust28,1,0,1,0,1,0,0,1,1,1,1
Cust29,1,1,0,1,0,0,0,1,0,1,1
Cust30,0,1,1,0,1,1,1,1,1,0,0
Cust31,1,0,1,0,1,0,0,1,1,1,1
Cust32,1,1,0,1,0,0,0,1,0,1,1
Cust33,0,1,1,1,1,0,1,1,1,0,1
Cust34,1,1,1,1,1,1,0,0,0,1,0
Cust35,0,0,1,1,1,1,1,1,0,0,1
Cust36,1,1,1,0,0,0,0,1,0,1,1
Cust37,1,1,0,1,0,0,1,0,1,0,1
Cust38,0,1,1,1,1,1,0,1,1,0,0
Cust39,1,0,1,0,1,1,1,1,0,1,1
Cust40,0,1,0,1,0,1,1,1,1,1,0
Cust41,1,1,1,1,0,0,0,1,0,1,1
Cust42,0,1,1,0,1,1,1,1,1,0,0
Cust43,1,1,0,1,0,0,0,1,0,1,1
Cust44,0,1,1,1,1,0,1,0,1,1,0
Cust45,1,1,1,0,1,1,0,1,0,0,1
Cust46,0,0,1,1,1,0,1,1,1,1,1
Cust47,1,1,0,1,1,1,0,0,1,0,0
Cust48,1,1,1,1,0,0,0,1,0,1,1
Cust49,0,1,1,0,1,1,1,0,1,1,0
Cust50,1,0,1,1,1,0,0,1,1,0,1
