Customer,New York,Boston,Philadelphia,Washington D.C.,Baltimore,Richmond,Virginia Beach,Charlotte,Raleigh,Atlanta,Nashville
Cust1,600,400,300,500,450,500,600,550,350,700,650
Cust2,700,350,250,600,500,550,700,650,400,800,750
Cust3,500,300,200,400,350,400,500,450,300,600,550
Cust4,800,450,350,700,600,650,800,750,500,900,850
Cust5,550,300,250,500,450,500,600,550,350,700,650
Cust6,600,350,300,600,500,550,650,600,400,800,750
Cust7,650,400,350,700,600,650,700,650,450,850,800
Cust8,700,450,400,750,650,700,750,700,500,900,850
Cust9,600,300,200,500,450,400,600,550,350,700,650
Cust10,800,350,250,600,500,450,650,600,400,800,750
Cust11,700,400,300,700,550,600,700,650,450,850,800
Cust12,600,450,350,800,600,650,750,700,500,900,850
Cust13,500,300,200,400,350,400,500,450,350,600,550
Cust14,750,400,350,650,600,650,700,650,500,850,800
Cust15,600,350,250,500,450,400,600,550,400,700,650
Cust16,700,450,300,600,500,550,650,600,450,800,750
Cust17,650,400,350,700,600,650,700,650,500,850,800
Cust18,600,300,200,400,350,400,500,450,350,600,550
Cust19,800,350,250,600,500,450,650,600,400,800,750
Cust20,700,400,300,700,550,600,700,650,450,850,800
Cust21,600,300,250,400,350,400,500,450,350,600,550
Cust22,650,250,200,300,250,300,400,350,300,500,450
Cust23,700,450,350,650,600,650,700,650,500,850,800
Cust24,800,500,400,750,650,700,750,700,550,900,850
Cust25,600,300,250,400,350,400,500,450,350,600,550
Cust26,650,200,150,300,250,300,400,350,250,500,450
Cust27,700,400,350,500,450,400,550,600,400,700,650
Cust28,750,450,400,600,500,550,600,650,500,800,750
Cust29,600,300,250,400,350,400,500,450,350,600,550
Cust30,650,200,150,300,250,300,400,350,250,500,450
Cust31,700,400,350,500,450,400,550,600,400,700,650
Cust32,800,450,400,600,500,550,600,650,500,800,750
Cust33,600,300,250,400,350,400,500,450,350,600,550
Cust34,650,250,200,300,250,300,400,350,300,500,450
Cust35,700,400,350,500,450,400,550,600,400,700,650
Cust36,750,450,400,600,500,550,600,650,500,800,750
Cust37,600,300,250,400,350,400,500,450,350,600,550
Cust38,800,350,250,500,450,400,600,550,300,700,650
Cust39,700,300,200,400,350,350,500,450,350,600,550
Cust40,750,450,400,600,500,550,600,650,500,800,750
Cust41,600,300,250,400,350,400,500,450,350,600,550
Cust42,700,350,300,500,450,500,550,600,400,700,650
Cust43,800,450,350,700,600,650,700,750,500,850,800
Cust44,750,400,300,650,500,550,600,650,450,800,750
Cust45,650,350,250,500,400,450,500,550,350,700,650
Cust46,700,400,300,550,450,500,600,600,400,750,700
Cust47,600,300,250,400,350,400,500,450,350,600,550
Cust48,650,350,300,500,400,450,550,500,400,650,600
Cust49,750,450,350,650,500,600,650,700,500,800,750
Cust50,700,400,300,600,450,500,600,650,450,750,700
